target_time,split_code,recommended_patrols,maximum_priority_score,mean_selected_confidence,deployment_status
2024-02-29 12:00:00+05:30,2,25,4.0871973,0.86488557,deployment_recommended
2024-02-29 13:00:00+05:30,2,25,3.8182628,0.87369674,deployment_recommended
2024-02-29 14:00:00+05:30,2,9,1.7579548,0.8709553,deployment_recommended
2024-02-29 15:00:00+05:30,2,2,0.95900774,0.93148255,deployment_recommended
2024-02-29 16:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-29 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-29 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-29 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-29 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-29 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-29 22:00:00+05:30,2,1,0.62606823,0.9099716,deployment_recommended
2024-02-29 23:00:00+05:30,2,2,0.9389241,0.90314716,deployment_recommended
2024-03-01 00:00:00+05:30,2,7,2.324112,0.9191638,deployment_recommended
2024-03-01 01:00:00+05:30,2,17,9.459699,0.91650486,deployment_recommended
2024-03-01 02:00:00+05:30,2,25,3.467223,0.8865197,deployment_recommended
2024-03-01 03:00:00+05:30,2,25,4.217071,0.8602559,deployment_recommended
2024-03-01 04:00:00+05:30,2,25,3.4482741,0.8474329,deployment_recommended
2024-03-01 05:00:00+05:30,2,25,2.8715396,0.8740068,deployment_recommended
2024-03-01 06:00:00+05:30,2,25,3.6093628,0.8911892,deployment_recommended
2024-03-01 07:00:00+05:30,2,25,3.1625934,0.89378947,deployment_recommended
2024-03-01 08:00:00+05:30,2,25,4.305975,0.8642415,deployment_recommended
2024-03-01 09:00:00+05:30,2,25,4.701865,0.9009743,deployment_recommended
2024-03-01 10:00:00+05:30,2,25,6.2211695,0.8919709,deployment_recommended
2024-03-01 11:00:00+05:30,2,25,4.9202614,0.8905001,deployment_recommended
2024-03-01 12:00:00+05:30,2,25,4.9568152,0.8998347,deployment_recommended
2024-03-01 13:00:00+05:30,2,25,3.4695554,0.86323225,deployment_recommended
2024-03-01 14:00:00+05:30,2,7,3.7366557,0.86913264,deployment_recommended
2024-03-01 15:00:00+05:30,2,2,3.6880603,0.9424455,deployment_recommended
2024-03-01 16:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-01 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-01 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-01 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-01 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-01 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-01 22:00:00+05:30,2,1,1.2030857,0.9099716,deployment_recommended
2024-03-01 23:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 00:00:00+05:30,2,5,1.4113532,0.9185632,deployment_recommended
2024-03-02 01:00:00+05:30,2,14,7.4557743,0.9044291,deployment_recommended
2024-03-02 02:00:00+05:30,2,17,5.0036583,0.901123,deployment_recommended
2024-03-02 03:00:00+05:30,2,25,5.2709093,0.8541619,deployment_recommended
2024-03-02 04:00:00+05:30,2,25,8.438521,0.85124105,deployment_recommended
2024-03-02 05:00:00+05:30,2,25,11.425065,0.88621897,deployment_recommended
2024-03-02 06:00:00+05:30,2,25,6.3320494,0.883312,deployment_recommended
2024-03-02 07:00:00+05:30,2,25,3.15248,0.8847203,deployment_recommended
2024-03-02 08:00:00+05:30,2,25,5.353179,0.88250196,deployment_recommended
2024-03-02 09:00:00+05:30,2,25,7.6454296,0.846484,deployment_recommended
2024-03-02 10:00:00+05:30,2,25,5.1943913,0.8927904,deployment_recommended
2024-03-02 11:00:00+05:30,2,25,3.6876523,0.8771918,deployment_recommended
2024-03-02 12:00:00+05:30,2,25,6.921985,0.88851786,deployment_recommended
2024-03-02 13:00:00+05:30,2,25,3.7199275,0.8641251,deployment_recommended
2024-03-02 14:00:00+05:30,2,8,4.102547,0.9107066,deployment_recommended
2024-03-02 15:00:00+05:30,2,3,1.4937775,0.88891286,deployment_recommended
2024-03-02 16:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 22:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-02 23:00:00+05:30,2,3,4.1776633,0.89771324,deployment_recommended
2024-03-03 00:00:00+05:30,2,8,2.7863088,0.91036177,deployment_recommended
